3.7181,2,1,1,2,20.23,212.292
4.2612,3,3,1,6,59.06,388.491
3.3322,0,3,2,0,57.53,336.447
6.3161,3,16,0,10,192.16,949.138
4.9753,4,6,1,4,68.52,409.291
4.648,3,5,0,6,50.06,340.375
0.7772,0,1,1,1,20.23,74.123
3.5401,2,5,0,6,55.84,393.483
2.1656,1,2,1,4,32.34,252.745
1.8667,1,1,0,0,23.79,117.151
1.3427,1,3,0,2,39.44,140.138
4.8397,4,9,3,10,127.36,572.691
4.5973,3,6,1,5,62.35,467.367
2.9016,1,2,0,1,43.14,192.001
6.169,5,9,3,10,133.2,670.822
4.1513,1,6,0,3,43.4,460.59
4.3109,3,4,0,4,42.43,358.441
2.7989,1,1,1,1,32.34,232.205
6.1251,0,4,2,6,66.76,462.715
2.6433,2,3,2,2,61.27,200.241
4.583,4,4,2,4,63.49,426.516
0.851,1,2,2,0,52.04,108.144
1.4455,1,3,1,2,52.32,165.192
6.4984,4,4,3,17,98.74,605.779
2.3056,0,1,1,6,26.02,129.247
2.2257,1,3,1,4,52.32,193.246
2.34,1,0,0,0,0,112.559
1.8551,2,2,2,4,54.12,232.283
1.28282,1,2,2,0,46.25,123.155
3.6126,1,2,2,0,40.46,296.41
1.3114,0,1,1,0,20.23,100.161
1.1989,0,3,1,7,38.69,176.256
3.0853,1,4,0,7,44.76,252.31
5.0994,3,7,1,6,81.91,474.409
5.0498,2,6,0,14,49.39,484.42
3.2829,1,2,0,1,37.38,284.142
5.639,3,5,0,5,55.2,423.925
1.293,1,6,0,8,71.06,282.292
3.5919,2,2,1,7,32.34,316.832
1.4711,2,3,1,1,71.82,163.136
4.4838,3,4,3,16,98.74,529.681
2.13242,1,3,0,0,39.44,192.214
3.908,2,3,2,7,67.01,366.259
2.1218,0,8,0,9,71.06,330.364
2.2348,2,1,0,0,12.89,129.162
1.536,1,4,2,1,89.39,188.57
1.67444,2,5,2,3,98.22,267.31
1.9995,2,8,0,5,66.24,317.332
3.4448,3,0,0,3,0,262.292
6.1174,1,4,4,9,81.17,513.811
3.0798,1,1,1,2,20.23,164.248
5.3425,2,8,1,7,95.34,532.685
1.81142,1,4,0,2,86.28,182.135
3.267,1,2,0,1,43.14,225.553
2.8458,0,5,1,1,80.67,374.477
2.3416,1,2,0,2,12.89,141.239
3.3588,1,0,0,0,0,180.556
5.7017,3,3,1,8,32.7,387.523
